"Please update Amasty Base module. Re-upload it and replace all the files.","Please update Amasty Base module. Re-upload it and replace all the files."
"We can't add this item to your shopping cart right now. Please reload the page.","We can't add this item to your shopping cart right now. Please reload the page."
"We can't add this item to your shopping cart right now.","We can't add this item to your shopping cart right now."
"You added %1 to your shopping cart.","You added %1 to your shopping cart."
"Set options","Set options"
"Add to cart","Add to cart"
Cancel,Cancel
"There is","There is"
" item"," item"
"There are","There are"
" items"," items"
"View Cart","View Cart"
" in your cart."," in your cart."
"Cart Subtotal:","Cart Subtotal:"
Information,Information
Continue,Continue
"Go to Checkout","Go to Checkout"
"We can't find the quote item.","We can't find the quote item."
"%1 was updated in your shopping cart.","%1 was updated in your shopping cart."
"We can't update the item right now.","We can't update the item right now."
"This product(s) is out of stock.","This product(s) is out of stock."
"We can't add the item to the cart right now.","We can't add the item to the cart right now."
"in your cart","in your cart"
Center,Center
Top,Top
"Top Left","Top Left"
"Top Right","Top Right"
Left,Left
Right,Right
None,None
Related,Related
Cross-sell,Cross-sell
"Stay on Product View Page","Stay on Product View Page"
"Go to Category Page","Go to Category Page"
"Parent Configurable Product Image","Parent Configurable Product Image"
"Child Simple Product Image","Child Simple Product Image"
"Only If There Are Required Options","Only If There Are Required Options"
"Always Show All Custom Options","Always Show All Custom Options"
"is added to cart","is added to cart"
"Related Products","Related Products"
"More Choices:","More Choices:"
"Add to Wish List","Add to Wish List"
"Add to Compare","Add to Compare"
"Add to Cart","Add to Cart"
"In stock","In stock"
"Out of stock","Out of stock"
Close,Close
"Ajax Shopping Cart","Ajax Shopping Cart"
General,General
"Enable Ajax Shopping Cart","Enable Ajax Shopping Cart"
"Dialog Close Delay (in seconds)","Dialog Close Delay (in seconds)"
"If set to 0, confirmation dialog will not hide automatically.","If set to 0, confirmation dialog will not hide automatically."
"Use Ajax Shopping Cart on Product View Pages","Use Ajax Shopping Cart on Product View Pages"
"Continue Button Action on Product View Pages","Continue Button Action on Product View Pages"
"If you have ""Go to category"" enabled and the client went to the product page not from the category page - after clicking the button he/she will be redirected to the category, the current product is assigned in","If you have ""Go to category"" enabled and the client went to the product page not from the category page - after clicking the button he/she will be redirected to the category, the current product is assigned in"
"Custom Options Display Mode","Custom Options Display Mode"
"If the 'Only If There Are Required Options' mode is on and a selected product has at least one required option, all custom options including the required ones are shown.","If the 'Only If There Are Required Options' mode is on and a selected product has at least one required option, all custom options including the required ones are shown."
"Display Settings","Display Settings"
"Enable flying image effect","Enable flying image effect"
"When set to 'Yes', the image of the product added to cart 'flies' to the 'Top  Cart' block in the top menu. Looks nice.","When set to 'Yes', the image of the product added to cart 'flies' to the 'Top  Cart' block in the top menu. Looks nice."
"Dialog Box Align","Dialog Box Align"
"Display Product Image in Dialog","Display Product Image in Dialog"
"Image to Show for Configurable Products","Image to Show for Configurable Products"
"Display Total Count of Products in Cart","Display Total Count of Products in Cart"
"Display Total Amount in Cart","Display Total Amount in Cart"
"Display 'Go to Checkout' Button","Display 'Go to Checkout' Button"
"Display the Product Qty Added to the Cart on the Product Listing","Display the Product Qty Added to the Cart on the Product Listing"
"Selling Options","Selling Options"
"Choose the Product Block Type to Display in the Confirmation Dialog","Choose the Product Block Type to Display in the Confirmation Dialog"
"Visual Options","Visual Options"
"Background Color","Background Color"
"Header Color","Header Color"
"Text Color","Text Color"
"Button Text Color","Button Text Color"
"Left Button Color","Left Button Color"
"Right Button Color","Right Button Color"
